Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Jawa Timur,Jawa,5653,272,2584,2797,249220,16781,185485,46954,40479023,140,6157,7,415,7,74,1,1,1
Kalimantan Barat,Kalimantan,403,13,430,-40,21682,509,16415,4758,5422814,74,3998,2,94,2,76,3,2,1
Kalimantan Selatan,Kalimantan,495,6,79,410,40771,1152,35642,3977,4023049,123,10134,1,286,3,87,2,1,1
Kalimantan Tengah,Kalimantan,348,1,475,-128,30818,592,22448,7778,2570289,135,11990,0,230,2,73,3,0,1
Kalimantan Timur,Kalimantan,1178,86,563,529,98703,2557,79821,16325,3552191,332,27787,24,720,3,81,1,1,1
Kalimantan Utara,Kalimantan,286,10,94,182,16702,259,13329,3114,648407,441,25759,15,399,2,80,2,2,1
Kepulauan Bangka Belitung,Sumatera,283,17,307,-41,27336,484,22940,3912,1379767,205,19812,12,351,2,84,1,1,1
Kepulauan Riau,Sumatera,710,23,612,75,37995,864,28812,8319,1929400,368,19693,12,448,2,76,1,1,1
Lampung,Sumatera,419,2,106,311,29077,1267,21024,6786,9095591,46,3197,0,139,4,72,1,0,1
Maluku,Maluku,59,0,4,55,12401,199,8096,4106,1847097,32,6714,0,108,2,65,0,0,1
Maluku Utara,Maluku,85,1,73,11,8381,185,5419,2777,1307803,65,6408,1,141,2,65,1,0,1
Nusa Tenggara Barat,Nusa Tenggara,337,5,89,243,16896,537,13740,2619,5270247,64,3206,1,102,3,81,1,2,1
Nusa Tenggara Timur,Nusa Tenggara,731,6,471,254,29841,553,19125,10163,5411321,135,5515,1,102,2,64,1,1,1
Papua,Papua,260,0,3,257,23824,294,11795,11735,4340348,60,5489,0,68,1,50,1,0,1
Papua Barat,Papua,325,2,226,97,16299,239,11991,4069,1140701,285,14289,2,210,1,74,5,1,1
Riau,Sumatera,843,24,739,80,83629,2240,73313,8076,6074100,139,13768,4,369,3,88,1,1,1
Sulawesi Barat,Sulawesi,132,3,65,64,7113,143,5943,1027,1559984,85,4560,2,92,2,84,2,1,1
